Size;EnumSet Insertion;EnumSet Suppression;EnumSet Access;EnumSet Parcours (iterateur);EnumSet Parcours (stream);BitSet Insertion;BitSet Suppression;BitSet Access;BitSet Parcours (iterateur);BitSet Parcours (stream)
10;898;8662;4290;2163929;6369786;496;5061;3210;10471073;2467113;
10;1030;2185;1091;255292;244934;427;1940;948;260806;202605;
10;751;1360;897;213922;231868;502;1560;1142;326433;259497;
10;781;1603;996;219984;188506;388;1297;993;269439;135193;
10;695;1192;849;199230;182958;389;1187;853;224529;180111;
10;793;1291;823;126769;108023;391;1204;886;216612;176460;
10;1358;1593;1242;263560;167349;386;1164;984;215863;102729;
10;712;1328;931;234319;177615;418;1276;876;179280;137652;
10;700;1374;975;310219;120765;396;1239;883;202475;187420;
10;868;1398;901;191472;122056;399;1137;872;181267;174975;
10;724;1373;916;152045;132416;388;1202;830;182160;130412;
10;710;1268;928;131938;100095;409;1268;851;180298;127734;
10;686;1375;879;234534;146655;414;1186;955;177331;117374;
10;767;1254;937;101581;155270;404;1365;908;475186;171765;
10;765;1428;957;160241;163996;461;1380;961;157859;110786;
10;931;1441;1024;141058;243586;459;1370;962;169936;116813;
10;707;1750;1128;137851;85742;437;1386;936;141947;104485;
10;712;1549;1128;63010;60300;438;1349;949;208143;150009;
10;828;1451;1111;85310;68201;433;1231;898;188727;87411;
10;755;1504;1049;105568;74843;451;1407;1056;142606;98156;
10;807;1569;1101;66028;115207;434;1517;1235;156293;534793;
10;1701;1605;1140;233024;73834;492;1630;719;238290;149928;
10;715;1681;1111;63132;53086;483;1366;507;119884;79107;
10;983;1576;1027;194189;49813;1852;1886;727;134368;103881;
10;772;1545;915;81815;46440;436;1326;486;91235;138713;
10;803;1451;991;45282;49299;441;1311;502;112070;53150;
10;1624;2206;1725;170934;172674;619;1688;869;153203;127143;
10;2062;2035;1499;82985;92268;610;1855;836;265750;129828;
10;1267;1797;1375;69874;114083;483;1510;688;94396;115181;
10;1511;1761;1484;74723;184046;547;1544;905;122794;192259;
10;1359;1841;1473;68504;44392;495;1481;794;146743;106382;
10;1316;1955;2368;67208;67548;470;1496;791;153698;98770;
10;1336;2103;1960;87290;76834;485;1588;885;243921;180242;
10;1465;2008;1550;50240;59271;624;1642;712;164715;72139;
10;1414;2070;1551;65640;86875;494;1474;734;141639;66774;
10;1013;1542;1158;210121;63035;490;1543;809;130564;80453;
10;1401;2554;1082;50427;83851;476;1377;656;110406;76744;
10;1187;1308;963;56579;68100;474;1618;575;98142;63859;
10;1201;1239;911;49811;58916;494;1479;620;201243;124863;
10;1343;1679;984;55641;69350;496;1448;939;312526;149239;
10;2124;1452;1019;47731;57296;493;1431;666;237722;83244;
10;1158;1296;1282;78607;64334;566;1468;678;149668;74036;
10;1222;1486;1065;38680;45910;511;1623;683;121763;78076;
10;1241;1940;1212;59414;75636;566;1993;788;110953;94661;
10;604;2681;1315;56333;58716;663;1979;865;129081;89969;
10;970;2279;1625;44623;57654;329;2065;961;106343;63103;
10;237;2967;1195;67369;54835;337;2425;786;108827;75336;
10;344;2826;1391;45600;52674;87;2350;954;131425;80869;
10;93;3221;1492;54586;77579;79;2352;838;72577;47076;
10;93;2714;1519;44562;51991;88;2034;703;96524;73903;
10;113;2948;1448;30793;44844;73;2005;741;140060;87759;
10;75;2949;1402;64073;121247;75;2479;867;218360;99287;
10;71;3477;1580;56882;81884;73;2301;888;163242;157167;
10;78;3413;1490;49433;57319;73;2419;757;204250;82093;
10;106;3060;1254;43397;67176;84;2250;770;107712;59962;
10;99;2624;1527;51155;79342;78;2148;781;140745;57989;
10;88;2552;1461;65503;110259;75;2572;1034;94517;69568;
10;75;2858;1432;50888;63230;86;2312;707;68215;55969;
10;98;2647;1415;54233;63365;85;2201;787;61084;46499;
10;106;2548;1338;60429;63021;74;2147;741;78609;66897;
10;93;2479;1161;32697;60589;83;2217;826;81205;76781;
10;93;3137;1306;52323;58671;85;2130;744;93897;80283;
10;72;2816;1449;54506;67698;71;2045;716;100415;80210;
10;78;2895;1351;48243;59090;75;2129;698;108792;137607;
10;108;3734;1586;52727;62813;82;2277;1208;141944;101295;
10;89;4381;1754;51942;141953;74;2616;820;113634;68622;
10;98;3369;1506;60030;141541;87;2715;1082;138717;95643;
10;68;3078;1437;85407;59585;74;2340;992;189446;99025;
10;68;3166;1546;46085;50567;81;2518;759;186983;106382;
10;70;3170;1212;55688;69822;83;2415;755;104777;162693;
10;69;3117;1299;55754;62931;85;2126;730;78419;65333;
10;70;2713;1417;40356;53004;75;2095;699;84699;65251;
10;69;2854;1458;58432;69830;76;2125;685;144727;67003;
10;92;2975;1402;80964;51789;75;2243;809;104397;71156;
10;94;3068;1449;51790;104344;78;2200;737;96102;80310;
